Title,Authors,Abstract,Published Year,Published Month,Journal,Volume,Issue,Pages,Accession Number,DOI,Ref,Covidence #,Study,Notes,Tags,label,random
Clinical Profile and Short-Term Outcome of Children with SARS-CoV-2 Related Multisystem Inflammatory Syndrome(MIS-C) Treated with Pulse Methylprednisolone.,"Sugunan, Sheeja; Bindusha, S; Geetha, S; Niyas, H R; Kumar, A Santhosh","BACKGROUND: Multi system inflammatory syndrome in children (MIS-C) is a rare, but life-threatening complication of SARS-CoV-2 infection., OBJECTIVES: To study the clinical profile and outcome of children with MIS-C treated with methylprednisolone pulse therapy and /or IVIG., STUDY DESIGN: Observational study., PARTICIPANTS: Children satisfying CDC MIS-C criteria admitted during the study period., OUTCOME MEASURES: Primary outcome was persistence of fever beyond 36 hours after start of immunomodulation therapy. Secondary outcomes included duration of ICU stay, mortality, need for repeat immunomodulation, time to normalization of CRP and persistence of coronary abnormalities at 2 weeks., RESULTS: Study population included 32 patients with MIS-C with median (IQR) age of 7.5 (5-9.5) years. The proportion of children with gastrointestinal symptoms was 27 (84%), cardiac was 29 (91%) and coronary artery dilatation was 11 (34%). Pulse methylprednisolone and intravenous immunoglobulin were used as first line therapy in 26 (81%), and 6 (19%) patients, respectively. Treatment failure was observed in 2/26 patients in methylprednisolone group and 2/6 patients in IVIG group. C-reactive protein levels less than 60mg/L by day 3 was seen in 17(74%) in methylprednisolone group and 2 (25%) in IVIG group (P=0.014). There was no mortality. At 2 weeks follow-up coronary artery dilatation persisted in 4 in methylprednisolone group and 1 in IVIG group., CONCLUSIONS: In patients with SARS-CoV-2 related MIS-C, methylprednisolone pulse therapy was associated with favorable short-term outcomes.",2021,/,Indian pediatrics,,"gm2, 2985062r",,,,33876782,#101462,Sugunan 2021,,,0,0.11423244
Lopinavir/ritonavir is associated with pneumonia resolution in COVID-19 patients with influenza coinfection: A retrospective matched-pair cohort study,"Yu, Chong; Pei, Guangchang; Yao, Ying; Zeng, Rui; Zhang, Zhiguo; Guo, Yujiao; Shi, Jing; Liao, Wenhui ","During the early stages of the pandemic, some coronavirus disease (COVID-19) patients were misdiagnosed as having influenza, which aroused the concern that some deaths attributed to influenza were actually COVID-19-related. However, little is known about whether coinfection with influenza contributes to severity of COVID-19 pneumonia, and the optimal therapeutic strategy for these patients. We retrospectively studied 128 hospitalized patients with COVID-19 pneumonia. All patients were positive severe acute respiratory syndrome coronavirus 2 positive by nucleic acid detection. Sixty-four cases were coinfected with influenza A/B and the other 64 were influenza negative, matched by age, sex, and days from onset of symptoms. Among the 64 coinfected patients, 54 (84.4%) were coinfected with influenza A, and 10 (15.6%) with influenza B. The median duration of viral shedding time from admission was longer for patients with influenza coinfection (17.0 days) than for those without influenza coinfection (12.0 days) (P <.001). The multivariable Cox proportional hazards model showed that the hazards ratio of resolution in lung involvement was 1.878 (P =.020) for patients administered lopinavir/ritonavir, compared with those not administered lopinavir/ritonavir (95% confidence interval: 1.103-3.196). Among influenza coinfected patients, those treated with lopinavir/ritonavir exhibited faster pneumonia resolution within 2 weeks after symptom onset (37% vs 1%; P =.001). There was no difference in lung involvement between influenza coinfected and noninfected groups. Lopinavir/ritonavir eliminated the difference of lung involvement between influenza coinfected and noninfected groups, indicating that lopinavir/ritonavir is associated with pneumonia resolution in COVID-19.Copyright Â© 2020 Wiley Periodicals LLC",2021,/,Journal of Medical Virology,93,1,472-480,,http://dx.doi.org/10.1002/jmv.26260,2005572400,#101808,Yu 2021,,,0,0.576196404
POS-510 Analysis and monitoring of the spread of SARS-COV-2 infection among patients of Nephrology-Dialysis Units in Piedmont and Valle d'Aosta,"Cioffi, M.; Balenzano, C.; Bermond, F.; Cesano, G.; Borzumati, M.; Chiappero, F.; Cusinato, S.; David, P.; Diena, D.; Falconi, D.; Manganaro, M.; BALDOVINO, S.; Roccatello, D.; Biancone, L.; Cantaluppi, V. ","Introduction: The ongoing SARS-COV-2 pandemic hit the world's population since the first trimester of 2020. Since the beginning it has been clear that the elderly and chronic patients were at greater risk ofmorbidity and mortality. The aim of the study was to monitor the spread and outcomes amongpatients in kidney replacement therapy treated in Nephrology-Dialysis units in Piedmont and Valled'Aosta Regions, North-West Italy. Method(s): A web platform accessible by Dialysis coordinators across the first and second wave of the pandemic is still being used to collect and regularly update demographic and clinical data of patients. We present preliminary results on cumulative incidence, risk estimates and measures of association. Data were analyzed using SPSS version 19 and Wizard 1.9.47 for Mac. Result(s): An overall of 599 cases has been monitored since March 2020 till November 2020. The cumulative incidence is 10% compared to 3,3% of the general population. A higher cumulative incidence has been observed among Hemodialysis patients (14%), while in peritoneal dialysis patients and transplant receivers' sub-groups it is 5,3% and 6,6%, respectively. Compared to the general population, among dialysis patients, cumulative incidence grew at a slower rate in the first than in the second wave of pandemic (incidence rate ratio of 1,65 for patients compared to 5,9 for the rest of the population). A higher fatality risk is observed among dialysis patients and transplant receivers (17% and11%, respectively) compared to that of the general population of 3,7%. Fatality is associated with age and cardiovascular diseases in both groups. Conclusion(s): The study of an overall population of 599 showed a higher susceptibility to SARS-COV-2 infection and worse outcomes compared to the general population. We observed increased risks for hemodialysis patients, who are older on average and more exposed to in-hospital infections. No conflict of interestCopyright Â© 2021",2021,/,Kidney International Reports,6,4 Supplement,S221,,http://dx.doi.org/10.1016/j.ekir.2021.03.538,2011682441,#101873,Cioffi 2021,,,0,0.57854719
Supplementation of Micronutrients Against COVID-19,"Unnithan, Ajaya Kumar Ayyappan","<h4>Background: </h4> and Objectives: There is no pharmacological treatment with proven efficacy against coronavirus disease-19. Certain micronutrients have roles in the maintenance of an effective immune system. From the point of view of public health, it will be good to adopt a nutrional strategy to enhance the immunity of the general population against viral diseases. Method and Study design: A review was done to now the evidence for the antiviral and immunomodulatory properties of micronutrients. A search was done in Pubmed, Scopus, and Google Scholar for the nutrients with proven effect against viral infection. Experimental studies, clinical studies, reviews, and meta-analyses were studied descripitively. <h4>Results:</h4> There are experimental studies about the effects of micronutrients against viral infection. Vitamins such as A, B6, B12, C, D, E, and folate, and trace elements such as zinc, selenium, iron, magnesium, and copper boost the immune response. The antioxidants like vitamin C and vitamin E can help in controlling the â€˜cytokine stormâ€™, produced by excessive inflammation. Vitamin D can increase anti-inflammatory cytokines. Selenium and zinc can protect the lungs in acute respiratory distress syndrome. There are many meta-analyses on the randomized controlled trials (RCT) about the effect of micronutrients on viral infection. The analyses of the trials supplementing vitamin C, vitamin D, vitamin E, and selenium have shown significance. <h4>Conclusions:</h4> There is level 2A evidence for the beneficial effects of vitamins and micronutrients in modulating the immunity against viral infections. So a programme for nutritional supplementation of these can help in fighting the pandemic.",2021,,,,,,PPR317690,10.21203/rs.3.rs-432151/v2,,#104544,Unnithan 2021,,,0,0.596520674
Face mask attitude over the course of COVID-19: Did younger people behave differently?,"Khan, Rida; Khan, Tooba; Fatima, Sahar; Sunesara, Shaleen; Masud, Faisal; Ratnani, Iqbal ","INTRODUCTION: During COVID-19, the surges in cases can be attributed to the lack of safety precautions. Health officials highly recommend use of face masks as a form of protection to curb the spread of the virus. Younger people may have less tendency to wear masks but did this attitude change if they knew someone affected with COVID-19? METHODS: We send an e-survey in the community regarding how mask habits have changed between early months of COVID-19 and now. These participants answered dichotomous questions about wearing a mask outside during the beginning of the pandemic, wearing a mask outside now, and whether anyone they know had been affected by the virus. They were also grouped in age categories that were 25 and under or above 25. Referencing the participant's age and their acquaintance's exposure to COVID-19, we used this data to determine the change in prevalence of wearing masks throughout the studied time period. RESULT(S): We received 310 responses. Responders were divided into 2 groups i.e., Younger Group (YG) <= 25 (n=123) and Older Group (OG) > 25 (n=187). At the start of the pandemic (around 1st week of March), the YG and OG start wearing masks with a frequency of 52% (64/123) and 63.1% (118/187). After 12 weeks, this frequency increased to 82.1% (101/123) and 95.1% (178/187) respectively. Although the trend appears higher in the older group, it was statistically not significant (p=0.8) when Fischer exact 2x2 test is applied due to sampling size < 1000. When a variable of a loved one or an acquaintance known to have COVID-19 is applied, both groups behaved differently with a frequency of 53.46% (n= 54 vs 47 /101) & 76.96% (n= 137 vs 41 /178). With chi2 contingency table further analyzing 8 subgroups with dependent of COVID-19 news exposure, the chi2 statistic was 45.47 with a p-value < 0.00001 (significant at p < .05 with two-tailed analysis). CONCLUSION(S): Masks were adopted largely across the population as the pandemic got worse. Younger group still stayed below older group. This behavior gets reinforced in older group but didn't affect the younger group with news of someone known to be COVID positive. This needs to be further investigated as due to their possible asymptomatic carrier state accompanied by low interest may result in a higher spread rate, with more burden on healthcare and ICUs.",2021,/,Critical Care Medicine,49,1 SUPPL 1,43,,http://dx.doi.org/10.1097/01.ccm.0000726360.68945.08,634767137,#101663,Khan 2021,,,0,0.756099823
6-month neurological and psychiatric outcomes in 236379 survivors of COVID-19: a retrospective cohort study using electronic health records,"Taquet, Maxime; Geddes, John R; Harrison, Paul J; Husain, Masud; Luciano, Sierra ","Background: Neurological and psychiatric sequelae of COVID-19 have been reported, but more data are needed to adequately assess the effects of COVID-19 on brain health. We aimed to provide robust estimates of incidence rates and relative risks of neurological and psychiatric diagnoses in patients in the 6 months following a COVID-19 diagnosis. Method(s): For this retrospective cohort study and time-to-event analysis, we used data obtained from the TriNetX electronic health records network (with over 81 million patients). Our primary cohort comprised patients who had a COVID-19 diagnosis; one matched control cohort included patients diagnosed with influenza, and the other matched control cohort included patients diagnosed with any respiratory tract infection including influenza in the same period. Patients with a diagnosis of COVID-19 or a positive test for SARS-CoV-2 were excluded from the control cohorts. All cohorts included patients older than 10 years who had an index event on or after Jan 20, 2020, and who were still alive on Dec 13, 2020. We estimated the incidence of 14 neurological and psychiatric outcomes in the 6 months after a confirmed diagnosis of COVID-19: intracranial haemorrhage; ischaemic stroke; parkinsonism; Guillain-Barre syndrome; nerve, nerve root, and plexus disorders; myoneural junction and muscle disease; encephalitis; dementia; psychotic, mood, and anxiety disorders (grouped and separately); substance use disorder; and insomnia. Using a Cox model, we compared incidences with those in propensity score-matched cohorts of patients with influenza or other respiratory tract infections. We investigated how these estimates were affected by COVID-19 severity, as proxied by hospitalisation, intensive therapy unit (ITU) admission, and encephalopathy (delirium and related disorders). We assessed the robustness of the differences in outcomes between cohorts by repeating the analysis in different scenarios. To provide benchmarking for the incidence and risk of neurological and psychiatric sequelae, we compared our primary cohort with four cohorts of patients diagnosed in the same period with additional index events: skin infection, urolithiasis, fracture of a large bone, and pulmonary embolism. Finding(s): Among 236 379 patients diagnosed with COVID-19, the estimated incidence of a neurological or psychiatric diagnosis in the following 6 months was 33.62% (95% CI 33.17-34.07), with 12.84% (12.36-13.33) receiving their first such diagnosis. For patients who had been admitted to an ITU, the estimated incidence of a diagnosis was 46.42% (44.78-48.09) and for a first diagnosis was 25.79% (23.50-28.25). Regarding individual diagnoses of the study outcomes, the whole COVID-19 cohort had estimated incidences of 0.56% (0.50-0.63) for intracranial haemorrhage, 2.10% (1.97-2.23) for ischaemic stroke, 0.11% (0.08-0.14) for parkinsonism, 0.67% (0.59-0.75) for dementia, 17.39% (17.04-17.74) for anxiety disorder, and 1.40% (1.30-1.51) for psychotic disorder, among others. In the group with ITU admission, estimated incidences were 2.66% (2.24-3.16) for intracranial haemorrhage, 6.92% (6.17-7.76) for ischaemic stroke, 0.26% (0.15-0.45) for parkinsonism, 1.74% (1.31-2.30) for dementia, 19.15% (17.90-20.48) for anxiety disorder, and 2.77% (2.31-3.33) for psychotic disorder. Most diagnostic categories were more common in patients who had COVID-19 than in those who had influenza (hazard ratio [HR] 1.44, 95% CI 1.40-1.47, for any diagnosis; 1.78, 1.68-1.89, for any first diagnosis) and those who had other respiratory tract infections (1.16, 1.14-1.17, for any diagnosis; 1.32, 1.27-1.36, for any first diagnosis). As with incidences, HRs were higher in patients who had more severe COVID-19 (eg, those admitted to ITU compared with those who were not: 1.58, 1.50-1.67, for any diagnosis; 2.87, 2.45-3.35, for any first diagnosis). Results were robust to various sensitivity analyses and benchmarking against the four additional index health events. Interpretation(s): Our study provides evidence for substantial neurological and psychiatric morbidity in the 6 months after COVID-19 infection. Risks were greatest in, but not limited to, patients who had severe COVID-19. This information could help in service planning and identification of research priorities. Complementary study designs, including prospective cohorts, are needed to corroborate and explain these findings. Funding(s): National Institute for Health Research (NIHR) Oxford Health Biomedical Research Centre.Copyright Â© 2021 The Author(s). Published by Elsevier Ltd. This is an Open Access article under the CC BY 4.0 license",2021,/,The Lancet Psychiatry,8,5,416-427,,http://dx.doi.org/10.1016/S2215-0366%2821%2900084-5,2011707701,#102574,Taquet 2021,,,0,0.20991929
Economic stressors and mental health symptoms among Bangladeshi rehabilitation professionals: A cross-sectional study amid COVID-19 pandemic.,"Ali, Mohammad; Uddin, Zakir; Hossain, Ahmed","Background: Mental health symptoms are considered a public health concern by many professionals and are frequently impacted by factors related to occupation, employment opportunities, and economic stressors. This study investigated the relationship between economic stressors and mental health symptoms among Bangladeshi rehabilitation professionals., Methods: We conducted a cross-sectional survey of 420 rehabilitation professionals between July 2020 and October 2020. Economic stressors were measured using Economic Hardship Questionnaire, Financial Threat Scale, and Financial Well-Being Scale. Mental health symptoms were measured using the Depression, Anxiety, and Stress Scale (DASS-21). Multivariable logistic regression analysis was performed to find associated factors on mental health problems after adjusting confounders., Results: Among 420 rehabilitation professionals 62.1% were male, 38.6% were post-graduated and 75% were in practice. The overall prevalence of depression, anxiety, and stress was 51.0%, 58.6%, and 33.6%, respectively. The multivariable regression analysis indicated that without a high professional degree, lack of opportunity to practice, and loss of income were the associated factors for mental health symptoms. The modelling of the structural equation showed that financial threat is significantly associated with mental health symptoms., Conclusion: During the era of COVID-19, a high prevalence of mental health symptoms was observed among rehabilitation professionals. To minimize the burden of mental health, we recommend that all rehabilitation organizations and the government come together to create equal opportunities to practice and enable individuals to obtain high professional degrees. Copyright Â© 2021 The Author(s).",2021,/,Heliyon,7,4,e06715,,https://dx.doi.org/10.1016/j.heliyon.2021.e06715,33898834,#103246,Ali 2021,,,0,0.321558209
Prevalence and associated factors of intention of COVID-19 vaccination among healthcare workers in China: application of the Health Belief Model.,"Yu, Yanqiu; Lau, Joseph T F; She, Rui; Chen, Xi; Li, Liping; Li, Lijuan; Chen, Xiaojun","Healthcare workers (HCWs) are at an increased risk of coronavirus disease 2019 (COVID-19) and warrant COVID-19 vaccination to reduce nosocomial infections. This study investigated: (1) the prevalence of behavioral intention of COVID-19 vaccination (BICV) under eight scenarios combining vaccines' effectiveness/safety/cost, plus two general scenarios of free/self-paid vaccination given governmental/hospital recommendations, (2) perceptions involving preferred timing of COVID-19 vaccination and impacts of various attributes on BICV, and (3) factors of BICV based on the Health Belief Model. An anonymous online cross-sectional survey was conducted among 2,254 full-time doctors/nurses in three Chinese provinces during 10/2020-11/2020. The prevalence of BICV was 75.1%/68.0% among nurses/doctors under the most optimum scenario of this study (free/80% effectiveness/rare mild side effects); it dropped to 64.6%/56.5% if it costed 600 Yuan (USD90). Similar prevalence was obtained (72.7%/71.2%) if the vaccination was recommended by the government/hospitals but dropped to <50% if effectiveness was 50% or mild side effects were common; 13.0% preferred to take up COVID-19 vaccination at the soonest (81.8% would wait and see). Scientific proof (completion of phase III clinical trials and approval from health authorities) was rated the highest in its impacts on vaccination decision, followed by vaccines' performance, and then logistics. Multivariable logistic regression analyses showed that perceived severity, perceived barriers, cues to action, and self-efficacy (but neither perceived susceptibility nor perceived barriers) were significantly associated with the two BICV outcomes. The coverage of COVID-19 vaccination would be high only if the vaccines perform well. Health promotion may take the findings into account.",2021,/,Human vaccines & immunotherapeutics,,101572652,09-Jan,,https://dx.doi.org/10.1080/21645515.2021.1909327,33877955,#101483,Yu 2021,,,0,0.731370285
Cerebrospinal fluid and serum interleukins 6 and 8 during the acute and recovery phase in COVID-19 neuropathies patients.,"Manganotti, Paolo; Bellavita, Giulia; Tommasini, Valentina; D'Acunto, Laura; Fabris, Martina; Cecotti, Laura; Furlanis, Giovanni; Sartori, Arianna; Bonzi, Lucia; Stella, Alex Buoite; Pesavento, Valentina","This case series describes three patients affected by SARS-CoV-2 who developed polyradiculoneuritis as a probable neurological complication of COVID-19. A diagnosis of Guillain Barre syndrome was made on the basis of clinical symptoms, cerebrospinal fluid analysis and electroneurography (ENG). In all of them therapeutic approach included the administration of intravenous immunoglobulin (0.4 gr/kg for 5 days), which resulted in the improvement of neurological symptoms. Clinical neurophysiology revealed the presence of conduction block, absence of F waves, and in two cases significant decrease in amplitude of compound motor action potential cMAP. Due to the potential role of inflammation on symptoms development and prognosis, interleukin-6 (IL-6) and -8 (IL-8) levels were measured in serum and cerebrospinal fluid during the acute phase, while only serum was tested after recovery. Both IL-6 and IL-8 were found increased during the acute phase, both in serum and cerebrospinal fluid, whereas four months after admission (at complete recovery), only IL-8 remained elevated in serum. These results confirm the inflammatory response that might be linked to peripheral nervous system complications, and encourage the use of IL-6 and IL-8 as prognostic biomarkers in COVID-19. This article is protected by copyright. All rights reserved. Copyright This article is protected by copyright. All rights reserved.",2021,/,Journal of medical virology,,"i9n, 7705876",,,https://dx.doi.org/10.1002/jmv.27061,33951196,#105457,Manganotti 2021,,,0,0.550163635
Application of intravenous immunoglobulin (IVIG) to modulate inflammation in critical COVID-19 - A theoretical perspective.,"Yaqinuddin, Ahmed; Ambia, Ayesha Rahman; Elgazzar, Tasnim Atef; AlSaud, Maha Bint Mishari; Kashir, Junaid","COVID-19 is an airway disease that has affected ~125 million people worldwide, caused by a novel coronavirus termed severe acute respiratory syndrome coronavirus 2 (SARS-CoV2), spread through respiratory droplets, direct contact, and aerosol transmission. Although most patients presenting with absent or mild symptoms recover completely, the highest morbidity and mortality rates are seen in the elderly, and patients with comorbidities such as cardiovascular diseases, cancer, immunosuppressive diseases, diabetes, and pre-existing respiratory illnesses. Several therapeutic strategies have been examined, but a wide-ranging therapeutic option for particularly severe cases of COVID-19 remains to be elucidated. Considering the indications presented by COVID-19 patients who present similarly with inflammatory conditions, intravenous immunoglobulin (IVIG) administration has been examined as a possible route to reduce proinflammatory markers such as ESR, CRP and ferritin by reducing inflammation, based on its anti-inflammatory effects as indicated by utilisation of IVIG for numerous other inflammatory conditions. Herein, summarising the recent key clinical evaluations of IVIG administration, we present our hypothesis that administration of IVIG within a specific dosage would be extremely beneficial towards reducing mortality and perhaps even the length of hospitalisation of patients exhibiting severe COVID-19 symptoms. Copyright Â© 2021 Elsevier Ltd. All rights reserved.",2021,/,Medical hypotheses,151,"m0m, 7505668",110592,,https://dx.doi.org/10.1016/j.mehy.2021.110592,33878626,#101538,Yaqinuddin 2021,,,0,0.225451318
Effectiveness of potential antiviral treatments in COVID-19 transmission control: a modelling study.,"Lin, Sheng-Nan; Rui, Jia; Chen, Qiu-Ping; Zhao, Bin; Yu, Shan-Shan; Li, Zhuo-Yang; Zhao, Ze-Yu; Wang, Yao; Zhu, Yuan-Zhao; Xu, Jing-Wen; Yang, Meng; Liu, Xing-Chun; Yang, Tian-Long; Luo, Li; Deng, Bin; Huang, Jie-Feng; Liu, Chan; Li, Pei-Hua; Liu, Wei-Kang; Xie, Fang; Chen, Yong; Su, Yan-Hua; Zhao, Ben-Hua; Chiang, Yi-Chen; Chen, Tian-Mu","BACKGROUND: Novel coronavirus disease 2019 (COVID-19) causes an immense disease burden. Although public health countermeasures effectively controlled the epidemic in China, non-pharmaceutical interventions can neither be maintained indefinitely nor conveniently implemented globally. Vaccination is mainly used to prevent COVID-19, and most current antiviral treatment evaluations focus on clinical efficacy. Therefore, we conducted population-based simulations to assess antiviral treatment effectiveness among different age groups based on its clinical efficacy., METHODS: We collected COVID-19 data of Wuhan City from published literature and established a database (from 2 December 2019 to 16 March 2020). We developed an age-specific model to evaluate the effectiveness of antiviral treatment in patients with COVID-19. Efficacy was divided into three types: (1) viral activity reduction, reflected as transmission rate decrease [reduction was set as v (0-0.8) to simulate hypothetical antiviral treatments]; (2) reduction in the duration time from symptom onset to patient recovery/removal, reflected as a 1/gamma decrease (reduction was set as 1-3 days to simulate hypothetical or real-life antiviral treatments, and the time of asymptomatic was reduced by the same proportion); (3) fatality rate reduction in severely ill patients (fc) [reduction (z) was set as 0.3 to simulate real-life antiviral treatments]. The population was divided into four age groups (groups 1, 2, 3 and 4), which included those aged <= 14; 15-44; 45-64; and >= 65 years, respectively. Evaluation indices were based on outbreak duration, cumulative number of cases, total attack rate (TAR), peak date, number of peak cases, and case fatality rate (f)., RESULTS: Comparing the simulation results of combination and single medication therapy s, all four age groups showed better results with combination medication. When 1/gamma = 2 and v = 0.4, age group 2 had the highest TAR reduction rate (98.48%, 56.01-0.85%). When 1/gamma = 2, z = 0.3, and v = 0.1, age group 1 had the highest reduction rate of f (83.08%, 0.71-0.12%)., CONCLUSIONS: Antiviral treatments are more effective in COVID-19 transmission control than in mortality reduction. Overall, antiviral treatments were more effective in younger age groups, while older age groups showed higher COVID-19 prevalence and mortality. Therefore, physicians should pay more attention to prevention of viral spread and patients deaths when providing antiviral treatments to patients of older age groups.",2021,/,Infectious diseases of poverty,10,1,53,,https://dx.doi.org/10.1186/s40249-021-00835-2,33874998,#101362,Lin 2021,,,0,0.151147473
Impact of COVID-19 on serum melatonin levels and sleep parameters in children.,"Yayici Koken, Ozlem; Gultutan, Pembe; Gungoren, Merve Sibel; Bayhan, Gulsum Iclal; Yilmaz, Deniz; Gurkas, Esra; Ozyurek, Hamit; Citak Kurt, Aysegul Nese","BACKGROUND/AIM: This study aimed to analyze the serum melatonin levels and changes in sleep patterns in pediatric patients with coronavirus disease 2019 (COVID-19)., MATERIALS AND METHODS: This study was designed as a descriptive, cross-sectional study. Serum melatonin levels and sleep parameters of children with the diagnosis of COVID-19 who had mild and moderate disease (i.e., COVID-19 group) were compared with those of children admitted with non-COVID-19 non-specific upper respiratory tract infection (i.e., control group). The Sleep Disturbance Scale for Children (SDSC) questionnaire was applied to the participants' primary caregivers to analyze their sleep patterns at present and six months before symptom onset and to investigate the impact of COVID-19 on sleep patterns., RESULTS: The entire study cohort consisted of 106 patients. The COVID-19 group included 80 patients, while the control group consisted of 26 patients. The mean serum melatonin levels were 136.72 pg/mL and 172.63 pg/mL in the COVID-19 and control groups, respectively (p=0.16). There was no significant difference between the groups in terms of 6 subcategories of the SDSC questionnaire regarding the present time and six months before symptom onset. The total SDSC scores were also similar in two different evaluation time points described above (p=0.99)., CONCLUSIONS: We conclude that COVID-19 did not impact the sleep parameters of children. Serum melatonin levels of all patients were higher than the reference range; however, they were higher in the non-COVID-19 patient group than the COVID-19 group. Since serum melatonin levels were higher than the reference values in children with COVID-19, and this disease is significantly less morbid in children, melatonin may have protective effects against COVID-19.",2021,/,Turkish journal of medical sciences,,9441758,,,https://dx.doi.org/10.3906/sag-2012-361,33843171,#98014,YayiciKoken 2021,,,0,0.054271928
Clinical characteristics of pediatric SARS-CoV-2 infection and coronavirus disease 2019 (COVID-19) in Kuwait,"Alsharrah, Danah; Alhaddad, Fatemah; Aljamaan, Sarah; Ayed, Mariam; Alyaseen, Munirah; Almutairi, Nahar; Papenburg, Jesse; Alghounaim, Mohammad ","Clinical presentation of coronavirus disease-2019 (COVID-19) ranges from asymptomatic to severe and life-threatening. National-level registries found that children, generally, have less severe disease when compared with adults. However, most asymptomatically infected children will not present to hospital and may be missed. We aimed to describe the clinical characteristics in pediatric COVID-19 patients in Kuwait, and to estimate the potential duration of viral shedding. A retrospective cohort study was performed in Jaber Alahmad Hospital (JAH) from February 29 to April 30, 2020. During the study period and as part of the public health measures, all severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2)-infected patients from 1 month to 18 years old, regardless of symptoms, were hospitalized at JAH, and were included. Polymerase chain reaction (PCR) negativity was defined as having two consecutive negative PCR results from a respiratory specimen. Descriptive statistics and multivariable regression analyses were performed. We found that 67.9% (95% CI, 59.4%-75.3%) of 134 SARS-CoV-2-infected children were asymptomatic. Median PCR positivity was 15 days and did not vary with symptoms. Among patients who had laboratory investigations and chest imaging, symptomatic infection was associated with elevated C-reactive protein and procalcitonin, and radiographic pneumonia. Asymptomatic SARS-CoV-2 infection is very common in children. Among symptomatic patients, the disease seems to be mild. Children exhibit substantial duration of viral shedding, regardless of symptoms.Copyright Â© 2020 Wiley Periodicals LLC",2021,/,Journal of Medical Virology,93,5,3246-3250,,http://dx.doi.org/10.1002/jmv.26684,2007475994,#98465,Alsharrah 2021,,,0,0.118951474
Dementia is an age-independent risk factor for severity and death in COVID-19 inpatients.,"Tahira, Ana C; Verjovski-Almeida, Sergio; Ferreira, Sergio T","INTRODUCTION: Dementia has been associated with COVID-19 prevalence, but whether this reflects higher infection, older age of patients, or disease severity remains unclear., METHODS: We investigated a cohort of 12,863 UK Biobank community-dwelling individuals > 65 years old (1814 individuals >= 80 years old) tested for COVID-19. Individuals were stratified by age to account for age as a confounder. Risk factors were analyzed for COVID-19-positive diagnosis, hospitalization, and death., RESULTS: All-cause dementia, Alzheimer's disease (AD), and Parkinson's disease (PD) were associated with COVID-19-positive diagnosis, and all-cause dementia and AD remained associated in individuals >= 80 years old. All-cause dementia, AD, or PD were not risk factors for overall hospitalization, but increased the risk of hospitalization of COVID-19 patients. All-cause dementia and AD increased the risk of COVID-19-related death, and all-cause dementia was uniquely associated with increased death in >= 80-year-old patients., DISCUSSION: All-cause dementia and AD are age-independent risk factors for disease severity and death in COVID-19. Copyright Â© 2021 the Alzheimer's Association.",2021,/,Alzheimer's & dementia : the journal of the Alzheimer's Association,,101231978,,,https://dx.doi.org/10.1002/alz.12352,33881211,#101498,Tahira 2021,,,0,0.545286397
Myopericarditis Associated with COVID-19 in a Pediatric Patient with Kidney Failure Receiving Hemodialysis.,"Ionescu, Marcela Daniela; Balgradean, Mihaela; Cirstoveanu, Catalin Gabriel; Balgradean, Ioana; Popa, Loredana Ionela; Pavelescu, Carmen; Capitanescu, Andrei; Berghea, Elena Camelia; Filip, Cristina","The outbreak of COVID-19 can be associated with cardiac and pulmonary involvement and is emerging as one of the most significant and life-threatening complications in patients with kidney failure receiving hemodialysis. Here, we report a critically ill case of a 13-year-old female patient with acute pericarditis and bilateral pleurisy, screened positive for SARS-CoV-2 RT-PCR, presented with high fever, frequent dry cough, and dyspnea with tachypnea. COVID-19-induced myopericarditis has been noted to be a complication in patients with concomitant kidney failure with replacement therapy (KFRT). This article brings information in the light of our case experience, suggesting that the direct effect of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) infection on cardiac tissue was a significant contributor to myopericarditis in our patient. Further studies in this direction are required, as such associations have thus far been reported.",2021,/,"Pathogens (Basel, Switzerland)",10,4,,,https://dx.doi.org/10.3390/pathogens10040486,33920512,#103346,Ionescu 2021,,,0,0.02639913
